State Requirements for Homeschooling - JSON
State,JSON
AL,
AK,
AZ,"loiaz.md,terminationaz.md,birthcertificateaz.md,subjects.az"
AR,loiar.md
CA,"affadavitca.md,attendanceca.md,instructorsca.md,immunizationsca.md,subjectsca.md"
CO,
CT,
DE,
FL,
GA,
HI,
ID,
IL,
IN,
IA,
KS,
KY,
LA,
ME,
MD,
MA,
MI,
MN,
MS,
MO,
MT,"loimt.md,attendancemt.md,annualmt.md,immunizationmt.md,subjectsmt.md,standardizedtesthighschoolny.md"
NE,
NV,
NH,
NJ,
NM,
NY,"loiny.md,ihipny.md,attendanceny.md,quarterlyny.md,annualassessmentny.md,subjectsny.md,stdtestsny.md"
NC,
ND,
OH,
OK,
OR,
PA,
RI,
SC,
SD,
TN,
TX,
UT,
VT,
VA,
WA,
WV,
WI,
WY,
